5050583016177,8
035628640826,18
5099751915324,23
828765459822,6
602498800140,30
075992607421,40
078221869928,13
828765843027,4
825646372935,26
602517851214,14
885370611670,501
724357938020,501
008817008127,11
075678091728,8
5030944111109,3
602517891890,18
042283156326,35
075678249723,30
5050582829860,81
5099943320523,9
093624949022,63
886977558122,19
602527209821,17
5099967896820,28
602517952980,32
886977650222,27
602517345843,16
077779500925,39
886978436429,25
042284694728,31
077779500628,16
008811952921,19
5012981249625,11
